Date,WL
2022-09-13,4.184090909
2022-09-14,4.196136364
2022-09-15,4.153295455
2022-09-16,4.46125
2022-09-17,4.935909091
2022-09-18,4.874772727
2022-09-19,4.070681818
2022-09-20,3.964886364
2022-09-21,3.967159091
2022-09-22,3.758977273
2022-09-23,3.7525
2022-09-24,3.683522727
2022-09-25,3.559772727
2022-09-26,3.393068182
2022-09-27,3.319772727
2022-09-28,3.545568182
2022-09-29,3.525568182
2022-09-30,3.918977273
2022-10-01,4.0725
2022-10-02,4.209431818
2022-10-03,4.40625
2022-10-04,4.251704545
2022-10-05,4.10125
2022-10-06,4.220681818
2022-10-07,4.154431818
2022-10-08,3.802840909
2022-10-09,3.161931818
2022-10-10,3.088522727
2022-10-11,3.102045455
2022-10-12,3.223522727
2022-10-13,3.345454545
2022-10-14,3.717954545
2022-10-15,3.691590909
2022-10-16,3.863295455
2022-10-17,3.978068182
2022-10-18,4.441818182
2022-10-19,4.444431818
2022-10-20,4.448636364
2022-10-21,4.484545455
2022-10-22,3.992727273
2022-10-23,3.819090909
2022-10-24,3.906363636
2022-10-25,3.890113636
2022-10-26,4.295
2022-10-27,4.124886364
2022-10-28,4.166818182
2022-10-29,4.226931818
2022-10-30,4.751022727
2022-10-31,4.325454545
2022-11-01,4.298068182
2022-11-02,4.27375
2022-11-03,4.427159091
2022-11-04,4.908068182
2022-11-05,4.14875
2022-11-06,4.182840909
2022-11-07,3.991590909
2022-11-08,4.175227273
2022-11-09,4.590227273
2022-11-10,4.907613636
2022-11-11,5.017045455
2022-11-12,5.524318182
2022-11-13,5.89125
2022-11-14,6.646022727
2022-11-15,6.999204545
2022-11-16,7.293863636
2022-11-17,7.118522727
2022-11-18,7.050340909
2022-11-19,6.993295455
2022-11-20,7.315340909
2022-11-21,6.862613636
2022-11-22,6.555568182
2022-11-23,6.258295455
2022-11-24,6.008181818
2022-11-25,5.960454545
2022-11-26,5.770227273
2022-11-27,5.707386364
2022-11-28,5.810795455
2022-11-29,5.876363636
2022-11-30,6.325113636
2022-12-01,6.652386364
2022-12-02,7.312272727
2022-12-03,7.918977273
2022-12-04,8.709090909
2022-12-05,9.489318182
2022-12-06,9.658863636
2022-12-07,9.934431818
2022-12-08,10.56193182
2022-12-09,11.9075
2022-12-10,12.43636364
2022-12-11,12.54079545
2022-12-12,12.61534091
2022-12-13,12.46886364
2022-12-14,12.45034091
2022-12-15,12.28090909
